ano,valor,pais,codigo_pais,indicador,categoria
2024,,Mauritius,MU,SP.DYN.LE00.IN,Health 
2023,73.4121951219512,Mauritius,MU,SP.DYN.LE00.IN,Health 
2022,73.5146341463415,Mauritius,MU,SP.DYN.LE00.IN,Health 
2021,73.680243902439,Mauritius,MU,SP.DYN.LE00.IN,Health 
2020,74.1770731707317,Mauritius,MU,SP.DYN.LE00.IN,Health 
2019,74.2358536585366,Mauritius,MU,SP.DYN.LE00.IN,Health 
2018,74.4163414634146,Mauritius,MU,SP.DYN.LE00.IN,Health 
2017,74.5146341463415,Mauritius,MU,SP.DYN.LE00.IN,Health 
2016,74.3948780487805,Mauritius,MU,SP.DYN.LE00.IN,Health 
2015,74.3531707317073,Mauritius,MU,SP.DYN.LE00.IN,Health 
2014,74.1943902439024,Mauritius,MU,SP.DYN.LE00.IN,Health 
2013,74.0170731707317,Mauritius,MU,SP.DYN.LE00.IN,Health 
2012,73.8634146341464,Mauritius,MU,SP.DYN.LE00.IN,Health 
2011,73.2668292682927,Mauritius,MU,SP.DYN.LE00.IN,Health 
2010,72.9673170731707,Mauritius,MU,SP.DYN.LE00.IN,Health 
2009,72.8824390243903,Mauritius,MU,SP.DYN.LE00.IN,Health 
2008,72.5707317073171,Mauritius,MU,SP.DYN.LE00.IN,Health 
2007,72.5707317073171,Mauritius,MU,SP.DYN.LE00.IN,Health 
2006,72.4321951219512,Mauritius,MU,SP.DYN.LE00.IN,Health 
2005,72.4321951219512,Mauritius,MU,SP.DYN.LE00.IN,Health 
2004,72.2658536585366,Mauritius,MU,SP.DYN.LE00.IN,Health 
2003,72.1170731707317,Mauritius,MU,SP.DYN.LE00.IN,Health 
2002,71.9658536585366,Mauritius,MU,SP.DYN.LE00.IN,Health 
2001,71.7658536585366,Mauritius,MU,SP.DYN.LE00.IN,Health 
2000,71.6634146341463,Mauritius,MU,SP.DYN.LE00.IN,Health 
