ano,valor,pais,codigo_pais,indicador,categoria
2024,,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2023,83.0048780487805,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2022,81.9585365853658,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2021,82.2073170731707,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2020,82.2560975609756,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2019,82.0560975609756,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2018,81.7073170731707,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2017,81.8585365853659,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2016,81.6585365853659,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2015,81.6124390243903,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2014,81.4568292682927,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2013,81.4048780487805,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2012,81.4073170731707,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2011,81.1560975609756,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2010,80.9048780487805,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2009,80.7024390243902,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2008,80.3512195121951,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2007,80.1512195121951,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2006,80.0487804878049,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2005,79.8512195121951,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2004,79.5487804878049,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2003,79.1463414634146,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2002,78.8463414634146,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2001,78.6926829268293,New Zealand,NZ,SP.DYN.LE00.IN,Health 
2000,78.6365853658537,New Zealand,NZ,SP.DYN.LE00.IN,Health 
