ano,valor,pais,codigo_pais,indicador,categoria
2024,,Pakistan,PK,SP.DYN.LE00.IN,Health 
2023,67.649,Pakistan,PK,SP.DYN.LE00.IN,Health 
2022,67.417,Pakistan,PK,SP.DYN.LE00.IN,Health 
2021,65.773,Pakistan,PK,SP.DYN.LE00.IN,Health 
2020,65.701,Pakistan,PK,SP.DYN.LE00.IN,Health 
2019,66.729,Pakistan,PK,SP.DYN.LE00.IN,Health 
2018,66.481,Pakistan,PK,SP.DYN.LE00.IN,Health 
2017,66.223,Pakistan,PK,SP.DYN.LE00.IN,Health 
2016,65.943,Pakistan,PK,SP.DYN.LE00.IN,Health 
2015,65.641,Pakistan,PK,SP.DYN.LE00.IN,Health 
2014,65.374,Pakistan,PK,SP.DYN.LE00.IN,Health 
2013,65.129,Pakistan,PK,SP.DYN.LE00.IN,Health 
2012,64.883,Pakistan,PK,SP.DYN.LE00.IN,Health 
2011,64.659,Pakistan,PK,SP.DYN.LE00.IN,Health 
2010,64.378,Pakistan,PK,SP.DYN.LE00.IN,Health 
2009,64.206,Pakistan,PK,SP.DYN.LE00.IN,Health 
2008,64.002,Pakistan,PK,SP.DYN.LE00.IN,Health 
2007,63.807,Pakistan,PK,SP.DYN.LE00.IN,Health 
2006,63.624,Pakistan,PK,SP.DYN.LE00.IN,Health 
2005,62.416,Pakistan,PK,SP.DYN.LE00.IN,Health 
2004,63.097,Pakistan,PK,SP.DYN.LE00.IN,Health 
2003,62.834,Pakistan,PK,SP.DYN.LE00.IN,Health 
2002,62.556,Pakistan,PK,SP.DYN.LE00.IN,Health 
2001,62.241,Pakistan,PK,SP.DYN.LE00.IN,Health 
2000,61.903,Pakistan,PK,SP.DYN.LE00.IN,Health 
