ano,valor,pais,codigo_pais,indicador,categoria
2024,,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2023,73.2546341463415,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2022,72.5456097560976,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2021,69.900243902439,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2020,71.3387804878049,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2019,73.0839024390244,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2018,72.6621951219512,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2017,72.4514634146342,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2016,71.6512195121951,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2015,71.1834146341463,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2014,70.7436585365854,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2013,70.5787804878049,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2012,70.0721951219512,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2011,69.6839024390244,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2010,68.8412195121951,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2009,68.6846341463415,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2008,67.9492682926829,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2007,67.5868292682927,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2006,66.7275609756098,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2005,65.529756097561,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2004,65.4709756097561,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2003,65.0275609756098,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2002,65.1287804878049,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2001,65.3834146341463,Russian Federation,RU,SP.DYN.LE00.IN,Health 
2000,65.4836585365854,Russian Federation,RU,SP.DYN.LE00.IN,Health 
