ano,valor,pais,codigo_pais,indicador,categoria
2024,,Slovenia,SI,SP.DYN.LE00.IN,Health 
2023,81.9780487804878,Slovenia,SI,SP.DYN.LE00.IN,Health 
2022,81.2829268292683,Slovenia,SI,SP.DYN.LE00.IN,Health 
2021,80.6756097560976,Slovenia,SI,SP.DYN.LE00.IN,Health 
2020,80.5317073170732,Slovenia,SI,SP.DYN.LE00.IN,Health 
2019,81.5292682926829,Slovenia,SI,SP.DYN.LE00.IN,Health 
2018,81.3780487804878,Slovenia,SI,SP.DYN.LE00.IN,Health 
2017,81.0292682926829,Slovenia,SI,SP.DYN.LE00.IN,Health 
2016,81.1756097560976,Slovenia,SI,SP.DYN.LE00.IN,Health 
2015,80.7756097560976,Slovenia,SI,SP.DYN.LE00.IN,Health 
2014,81.0780487804878,Slovenia,SI,SP.DYN.LE00.IN,Health 
2013,80.3219512195122,Slovenia,SI,SP.DYN.LE00.IN,Health 
2012,80.1243902439024,Slovenia,SI,SP.DYN.LE00.IN,Health 
2011,79.9707317073171,Slovenia,SI,SP.DYN.LE00.IN,Health 
2010,79.4219512195122,Slovenia,SI,SP.DYN.LE00.IN,Health 
2009,78.9707317073171,Slovenia,SI,SP.DYN.LE00.IN,Health 
2008,78.7658536585366,Slovenia,SI,SP.DYN.LE00.IN,Health 
2007,78.5609756097561,Slovenia,SI,SP.DYN.LE00.IN,Health 
2006,78.0865853658537,Slovenia,SI,SP.DYN.LE00.IN,Health 
2005,77.6121951219512,Slovenia,SI,SP.DYN.LE00.IN,Health 
2004,77.2073170731707,Slovenia,SI,SP.DYN.LE00.IN,Health 
2003,76.8585365853659,Slovenia,SI,SP.DYN.LE00.IN,Health 
2002,76.0073170731707,Slovenia,SI,SP.DYN.LE00.IN,Health 
2001,75.7585365853659,Slovenia,SI,SP.DYN.LE00.IN,Health 
2000,75.4121951219512,Slovenia,SI,SP.DYN.LE00.IN,Health 
