ano,valor,pais,codigo_pais,indicador,categoria
2024,,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2023,71.23,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2022,71.191,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2021,69.132,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2020,69.605,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2019,70.994,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2018,71.017,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2017,71.013,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2016,70.7,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2015,70.463,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2014,70.355,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2013,70.091,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2012,70.539,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2011,70.609,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2010,70.66,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2009,70.712,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2008,70.611,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2007,70.446,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2006,70.434,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2005,70.454,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2004,70.445,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2003,70.43,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2002,70.658,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2001,70.382,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
2000,70.35,St. Vincent and the Grenadines,VC,SP.DYN.LE00.IN,Health 
