ano,valor,pais,codigo_pais,indicador,categoria
2024,,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2023,80.519512195122,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2022,80.319512195122,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2021,80.0682926829268,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2020,79.819512195122,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2019,79.6682926829268,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2018,79.5195121951219,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2017,79.3682926829268,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2016,79.1682926829268,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2015,79.0170731707317,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2014,78.8682926829268,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2013,78.7170731707317,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2012,78.5170731707317,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2011,78.3170731707317,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2010,77.8658536585366,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2009,77.5146341463415,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2008,77.1634146341463,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2007,76.8634146341463,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2006,78.3243902439024,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2005,77.4219512195122,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2004,77.7731707317073,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2003,77.5219512195122,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2002,77.5219512195122,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2001,77.6219512195122,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
2000,76.619512195122,Virgin Islands (U.S.),VI,SP.DYN.LE00.IN,Health 
