ano,valor,pais,codigo_pais,indicador,categoria
2024,,Zambia,ZM,SP.DYN.LE00.IN,Health 
2023,66.349,Zambia,ZM,SP.DYN.LE00.IN,Health 
2022,65.279,Zambia,ZM,SP.DYN.LE00.IN,Health 
2021,62.363,Zambia,ZM,SP.DYN.LE00.IN,Health 
2020,63.361,Zambia,ZM,SP.DYN.LE00.IN,Health 
2019,62.914,Zambia,ZM,SP.DYN.LE00.IN,Health 
2018,62.138,Zambia,ZM,SP.DYN.LE00.IN,Health 
2017,61.564,Zambia,ZM,SP.DYN.LE00.IN,Health 
2016,61.129,Zambia,ZM,SP.DYN.LE00.IN,Health 
2015,60.728,Zambia,ZM,SP.DYN.LE00.IN,Health 
2014,60.109,Zambia,ZM,SP.DYN.LE00.IN,Health 
2013,59.445,Zambia,ZM,SP.DYN.LE00.IN,Health 
2012,58.704,Zambia,ZM,SP.DYN.LE00.IN,Health 
2011,57.843,Zambia,ZM,SP.DYN.LE00.IN,Health 
2010,56.896,Zambia,ZM,SP.DYN.LE00.IN,Health 
2009,55.886,Zambia,ZM,SP.DYN.LE00.IN,Health 
2008,54.835,Zambia,ZM,SP.DYN.LE00.IN,Health 
2007,53.73,Zambia,ZM,SP.DYN.LE00.IN,Health 
2006,52.693,Zambia,ZM,SP.DYN.LE00.IN,Health 
2005,51.615,Zambia,ZM,SP.DYN.LE00.IN,Health 
2004,50.54,Zambia,ZM,SP.DYN.LE00.IN,Health 
2003,49.616,Zambia,ZM,SP.DYN.LE00.IN,Health 
2002,48.461,Zambia,ZM,SP.DYN.LE00.IN,Health 
2001,47.408,Zambia,ZM,SP.DYN.LE00.IN,Health 
2000,46.577,Zambia,ZM,SP.DYN.LE00.IN,Health 
