ano,valor,pais,codigo_pais,indicador,categoria
2024,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2023,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2022,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2021,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2020,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2019,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2018,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2017,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2016,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2015,12.6541204084874,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2014,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2013,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2012,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2011,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2010,12.2261381171446,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2009,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2008,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2007,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2006,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2005,11.8307155905787,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2004,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2003,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2002,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2001,,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2000,13.9098098156283,Djibouti,DJ,SM.POP.TOTL.ZS,"Financial Sector , Health "
