ano,valor,pais,codigo_pais,indicador,categoria
2024,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2023,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2022,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2021,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2020,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2019,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2018,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2017,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2016,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2015,34.3452214669274,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2014,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2013,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2012,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2011,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2010,33.7400754913445,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2009,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2008,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2007,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2006,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2005,31.6746905089409,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2004,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2003,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2002,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2001,,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
2000,29.4468209571862,Gibraltar,GI,SM.POP.TOTL.ZS,"Financial Sector , Health "
