ano,valor,pais,codigo_pais,indicador,categoria
2024,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2023,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2022,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2021,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2020,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2019,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2018,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2017,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2016,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2015,9.12262208400769,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2014,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2013,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2012,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2011,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2010,9.11868644888214,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2009,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2008,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2007,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2006,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2005,9.19940108972932,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2004,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2003,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2002,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2001,,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
2000,9.05352738250248,Serbia,RS,SM.POP.TOTL.ZS,"Financial Sector , Health "
