ano,valor,pais,codigo_pais,indicador,categoria
2024,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2023,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2022,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2021,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2020,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2019,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2018,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2017,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2016,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2015,3.79000676014412,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2014,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2013,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2012,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2011,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2010,3.99417855305968,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2009,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2008,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2007,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2006,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2005,3.64594864418195,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2004,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2003,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2002,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2001,,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
2000,2.82868709786276,Togo,TG,SM.POP.TOTL.ZS,"Financial Sector , Health "
