ano,valor,pais,codigo_pais,indicador,categoria
2024,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2023,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2022,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2021,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2020,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2019,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2018,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2017,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2016,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2015,3.91690323992971,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2014,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2013,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2012,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2011,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2010,4.39855580602632,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2009,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2008,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2007,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2006,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2005,5.12820285315632,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2004,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2003,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2002,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2001,,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
2000,5.73145148942692,Uzbekistan,UZ,SM.POP.TOTL.ZS,"Financial Sector , Health "
