ano,valor,pais,codigo_pais,indicador,categoria
2024,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2023,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2022,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2021,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2020,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2019,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2018,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2017,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2016,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2015,13751.0,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2014,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2013,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2012,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2011,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2010,13351.0,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2009,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2008,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2007,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2006,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2005,12435.0,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2004,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2003,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2002,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2001,,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
2000,12719.0,Fiji,FJ,SM.POP.TOTL,"Financial Sector , Health "
