ano,valor,pais,codigo_pais,indicador,categoria
2024,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2023,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2022,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2021,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2020,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2019,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2018,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2017,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2016,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2015,7057.0,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2014,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2013,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2012,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2011,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2010,6980.0,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2009,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2008,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2007,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2006,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2005,6902.0,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2004,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2003,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2002,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2001,,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
2000,6825.0,Grenada,GD,SM.POP.TOTL,"Financial Sector , Health "
