ano,valor,pais,codigo_pais,indicador,categoria
2024,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2023,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2022,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2021,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2020,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2019,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2018,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2017,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2016,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2015,22333.0,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2014,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2013,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2012,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2011,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2010,21061.0,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2009,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2008,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2007,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2006,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2005,20736.0,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2004,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2003,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2002,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2001,,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
2000,20450.0,Guinea-Bissau,GW,SM.POP.TOTL,"Financial Sector , Health "
