ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2023,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2022,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2021,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2020,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2019,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2018,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2017,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2016,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2015,342703.0,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2014,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2013,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2012,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2011,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2010,318506.0,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2009,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2008,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2007,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2006,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2005,279308.0,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2004,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2003,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2002,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2001,,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
2000,240791.0,"Macao SAR, China",MO,SM.POP.TOTL,"Financial Sector , Health "
