ano,valor,pais,codigo_pais,indicador,categoria
2024,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2023,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2022,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2021,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2020,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2019,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2018,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2017,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2016,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2015,25782.0,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2014,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2013,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2012,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2011,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2010,25424.0,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2009,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2008,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2007,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2006,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2005,29967.0,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2004,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2003,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2002,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2001,,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
2000,25101.0,Papua New Guinea,PG,SM.POP.TOTL,"Financial Sector , Health "
