ano,valor,pais,codigo_pais,indicador,categoria
2024,,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2023,522331.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2022,519741.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2021,516649.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2020,514679.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2019,514104.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2018,513415.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2017,512893.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2016,512554.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2015,512394.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2014,512326.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2013,512225.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2012,511955.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2011,511447.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2010,509784.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2009,506141.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2008,501355.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2007,496190.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2006,490728.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2005,485115.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2004,479370.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2003,473383.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2002,467046.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2001,460293.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
2000,453317.0,Cabo Verde,CV,SP.POP.TOTL,"Climate Change, Health "
