ano,valor,pais,codigo_pais,indicador,categoria
2024,,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2023,128691692.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2022,125384287.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2021,122138588.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2020,118917671.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2019,115737383.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2018,112664152.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2017,109666481.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2016,106718162.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2015,103867135.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2014,101115610.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2013,98438751.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2012,95798767.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2011,93149970.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2010,90538514.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2009,88007636.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2008,85543668.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2007,83103217.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2006,80703490.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2005,78367470.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2004,76077206.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2003,73832663.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2002,71635517.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2001,69487762.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
2000,67411494.0,Ethiopia,ET,SP.POP.TOTL,"Climate Change, Health "
