ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2023,2697845.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2022,2636470.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2021,2576010.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2020,2515733.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2019,2456844.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2018,2399632.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2017,2342189.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2016,2283769.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2015,2224529.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2014,2164528.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2013,2103820.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2012,2043094.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2011,1983784.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2010,1926630.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2009,1871422.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2008,1817852.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2007,1765774.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2006,1715275.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2005,1667037.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2004,1621312.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2003,1577611.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2002,1535691.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2001,1495011.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
2000,1455084.0,"Gambia, The",GM,SP.POP.TOTL,"Climate Change, Health "
