ano,valor,pais,codigo_pais,indicador,categoria
2024,,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2023,117081.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2022,116913.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2021,116688.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2020,116341.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2019,115981.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2018,115691.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2017,115438.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2016,115130.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2015,114676.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2014,114132.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2013,113487.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2012,112775.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2011,112079.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2010,111586.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2009,111254.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2008,110896.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2007,110522.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2006,110135.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2005,109734.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2004,109323.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2003,108884.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2002,108404.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2001,107987.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
2000,107451.0,Grenada,GD,SP.POP.TOTL,"Climate Change, Health "
