ano,valor,pais,codigo_pais,indicador,categoria
2024,,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2023,55339003.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2022,54252461.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2021,53219166.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2020,52217334.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2019,51202827.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2018,50207107.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2017,49197766.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2016,48139687.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2015,47088526.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2014,46051440.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2013,44986791.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2012,43888303.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2011,42758461.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2010,41598567.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2009,40408891.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2008,39206351.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2007,38036349.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2006,36904008.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2005,35796484.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2004,34713455.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2003,33652223.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2002,32629808.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2001,31619170.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
2000,30642890.0,Kenya,KE,SP.POP.TOTL,"Climate Change, Health "
