ano,valor,pais,codigo_pais,indicador,categoria
2024,,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2023,5773493.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2022,5744489.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2021,5718122.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2020,5702398.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2019,5794594.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2018,5984119.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2017,6160128.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2016,6323060.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2015,6472469.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2014,6346990.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2013,5743436.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2012,5235742.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2011,5096020.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2010,5041288.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2009,4992287.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2008,4925354.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2007,4844118.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2006,4751136.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2005,4671102.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2004,4599279.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2003,4525508.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2002,4463504.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2001,4401918.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
2000,4329340.0,Lebanon,LB,SP.POP.TOTL,"Climate Change, Health "
