ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2023,678800.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2022,677300.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2021,682500.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2020,685400.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2019,672000.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2018,658900.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2017,648400.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2016,652500.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2015,642900.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2014,621700.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2013,591900.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2012,567900.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2011,549600.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2010,537000.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2009,535000.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2008,540700.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2007,520900.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2006,498900.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2005,473500.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2004,454700.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2003,443600.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2002,438400.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2001,433900.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
2000,430600.0,"Macao SAR, China",MO,SP.POP.TOTL,"Climate Change, Health "
