ano,valor,pais,codigo_pais,indicador,categoria
2024,,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2023,23769127.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2022,23072640.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2021,22388630.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2020,21713836.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2019,21068405.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2018,20442030.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2017,19813011.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2016,19191289.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2015,18593022.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2014,18020267.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2013,17459615.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2012,16957033.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2011,16469049.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2010,15945198.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2009,15435539.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2008,14940782.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2007,14457775.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2006,13990139.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2005,13538647.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2004,13102409.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2003,12684955.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2002,12288050.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2001,11912158.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
2000,11559290.0,Mali,ML,SP.POP.TOTL,"Climate Change, Health "
