ano,valor,pais,codigo_pais,indicador,categoria
2024,,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2023,2457783.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2022,2528654.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2021,2595809.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2020,2635130.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2019,2664224.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2018,2707203.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2017,2755189.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2016,2803186.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2015,2835978.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2014,2857815.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2013,2859558.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2012,2860324.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2011,2860699.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2010,2862354.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2009,2865213.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2008,2868833.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2007,2874299.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2006,2880967.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2005,2888985.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2004,2896023.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2003,2903198.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2002,2911385.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2001,2918135.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
2000,2924668.0,Moldova,MD,SP.POP.TOTL,"Climate Change, Health "
