ano,valor,pais,codigo_pais,indicador,categoria
2024,,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2023,37712505.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2022,37329064.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2021,36954442.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2020,36584208.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2019,36210898.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2018,35839760.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2017,35446392.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2016,35023457.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2015,34607588.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2014,34204780.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2013,33787571.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2012,33355241.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2011,32912588.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2010,32467016.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2009,32030778.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2008,31606767.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2007,31186468.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2006,30771178.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2005,30358144.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2004,29953018.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2003,29571415.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2002,29198142.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2001,28814643.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
2000,28423435.0,Morocco,MA,SP.POP.TOTL,"Climate Change, Health "
