ano,valor,pais,codigo_pais,indicador,categoria
2024,,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2023,2120461.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2022,2112076.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2021,2108079.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2020,2102419.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2019,2088385.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2018,2073894.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2017,2066388.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2016,2065042.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2015,2063531.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2014,2061980.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2013,2059953.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2012,2057159.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2011,2052843.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2010,2048583.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2009,2039669.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2008,2021316.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2007,2018122.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2006,2006868.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2005,2000474.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2004,1997012.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2003,1995733.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2002,1994530.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2001,1992060.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
2000,1988925.0,Slovenia,SI,SP.POP.TOTL,"Climate Change, Health "
