ano,valor,pais,codigo_pais,indicador,categoria
2024,,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2023,85325965.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2022,84979913.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2021,84147318.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2020,83384680.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2019,82579440.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2018,81407204.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2017,80312698.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2016,79277962.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2015,78218479.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2014,77181884.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2013,76147624.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2012,75175827.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2011,74223629.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2010,73142150.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2009,72039206.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2008,71051678.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2007,70158112.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2006,70045349.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2005,69329557.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2004,68592617.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2003,67831730.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2002,67048795.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2001,66245128.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
2000,65425961.0,Turkiye,TR,SP.POP.TOTL,"Climate Change, Health "
