ano,valor,pais,codigo_pais,indicador,categoria
2024,,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2023,46198.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2022,45847.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2021,45243.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2020,44386.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2019,43166.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2018,41559.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2017,39913.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2016,38315.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2015,36605.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2014,35050.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2013,33653.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2012,32127.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2011,30846.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2010,29739.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2009,28588.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2008,27427.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2007,26270.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2006,25123.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2005,23988.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2004,22856.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2003,21727.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2002,20597.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2001,19576.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
2000,18730.0,Turks and Caicos Islands,TC,SP.POP.TOTL,"Climate Change, Health "
