ano,valor,pais,codigo_pais,indicador,categoria
2024,,United States,US,SP.POP.TOTL,"Climate Change, Health "
2023,334914895.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2022,333271411.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2021,332048977.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2020,331526933.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2019,328329953.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2018,326838199.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2017,325122128.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2016,323071755.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2015,320738994.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2014,318386329.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2013,316059947.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2012,313877662.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2011,311583481.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2010,309327143.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2009,306771529.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2008,304093966.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2007,301231207.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2006,298379912.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2005,295516599.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2004,292805298.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2003,290107933.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2002,287625193.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2001,284968955.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
2000,282162411.0,United States,US,SP.POP.TOTL,"Climate Change, Health "
