ano,valor,pais,codigo_pais,indicador,categoria
2024,,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2023,5165775.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2022,5043612.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2021,4922749.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2020,4803269.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2019,4685306.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2018,4569087.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2017,4454805.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2016,4367088.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2015,4270092.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2014,4173398.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2013,4076708.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2012,3979998.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2011,3882986.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2010,3786161.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2009,3689099.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2008,3591977.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2007,3494496.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2006,3406334.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2005,3320396.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2004,3236626.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2003,3154969.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2002,3075373.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2001,2997784.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
2000,2922153.0,West Bank and Gaza,PS,SP.POP.TOTL,"Climate Change, Health "
