ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,12.1979991703406,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,11.8516055669542,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,9.11139902941669,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,7.98463372366747,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,8.1243114296323,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,8.51177980062516,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,8.40281195267925,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,8.65531438621737,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,8.76792026182684,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,9.33219866275317,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,9.63321393516807,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,8.97775210018425,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,11.4980757588861,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,12.7743050774856,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,11.1199002629287,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,11.9859193983034,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,12.4357438586807,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,13.5577547655949,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,14.0900896168433,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,15.0305976006279,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,18.7720275689825,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,18.0499085010814,"Egypt, Arab Rep.",EG,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
