ano,valor,pais,codigo_pais,indicador,categoria
2024,,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,78.0821751777634,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,83.1580658964484,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,81.5853236413984,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,79.3964402727353,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,81.4669820428654,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,83.5605809533093,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,85.6406490705556,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,77.1617567126862,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,73.4667900948855,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,72.6234173248088,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,67.8164983164983,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,62.7448651669694,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,59.7118467933492,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,67.1421664904064,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,70.5604497150778,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,71.1285525446134,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,71.3124343257443,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,76.1442739520958,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,77.4454472523065,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,70.3272688356164,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,53.1642254771416,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,59.0982298678634,Kenya,KE,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
