ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,4.94750949296404,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,6.18974430627358,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,6.59815311289842,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,6.28428146058612,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,6.39269406392694,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,6.33414932680539,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,4.63703703703704,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,3.42848512309319,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,1.45551759988118,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,1.09763142692086,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,1.27474002012747,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,1.09054383699239,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,0.87205966724039,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,0.382697437086861,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,0.301764159702878,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,0.162715016271502,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,0.162715016271502,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,0.162715016271502,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,0.162715016271502,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,4.18293363078639,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,4.18293363078639,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,4.18293363078639,"Micronesia, Fed. Sts.",FM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
