ano,valor,pais,codigo_pais,indicador,categoria
2024,,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,75.2819403676811,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,75.2773571494793,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,75.2773571494793,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,75.2758290323577,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,75.2360315740598,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,74.2497736385978,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,74.7277915446422,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,82.5514848361949,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,61.9905268697737,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,73.8805970149254,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,87.0971409083158,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,87.3996366406845,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,35.0549373644062,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,6.09034686743748,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,18.8755020080321,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,20.2733485193622,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,24.0602455385394,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,17.5257731958763,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,16.6666666666667,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,16.6666666666667,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,33.3333333333333,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,34.7826086956522,Sierra Leone,SL,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
