ano,valor,pais,codigo_pais,indicador,categoria
2024,,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,36.1126858150668,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,34.1665503199535,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,32.5658115410895,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,33.2073992404753,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,28.9135734411368,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,32.3426060606061,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,30.7114569536424,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,39.485232551471,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,33.5633732844812,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,28.7010230666582,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,25.0618344853353,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,30.0110705596107,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,29.9125769676279,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,26.2674553326422,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,22.4650003323805,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,24.499239166391,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,23.648938281405,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,27.6021871521184,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,22.2814037626628,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,23.3906014522537,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,26.7367620627679,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,28.6605989430417,Slovenia,SI,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
