ano,valor,pais,codigo_pais,indicador,categoria
2024,,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,39.3928323699422,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,43.4721725810569,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,35.2405454077695,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,33.9811449651592,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,36.7172189181535,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,38.1655405405405,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,35.5252370755583,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,44.4205652243334,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,31.3683330546731,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,33.8265630519251,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,41.3217054263566,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,52.7892064685972,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,57.0558566069196,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,61.7157326130993,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,61.3487494100991,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,43.326198630137,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,51.5302106430155,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,61.6690307328605,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,67.365988909427,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,66.983600837404,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,68.6095744680851,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,75.073511785857,Tanzania,TZ,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
