ano,valor,pais,codigo_pais,indicador,categoria
2024,,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,0.0110915492957746,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,0.0122273115441348,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,0.014,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,0.0124196664432441,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,0.0131821225309675,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,0.0132984337400262,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,0.0139788763646046,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,0.0154411764705882,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,0.0166931637519873,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,0.0177464788732394,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,0.0182926829268293,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,0.0189075630252101,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,0.019712140175219,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,0.0209441489361702,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,0.0211693548387097,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,0.0230769230769231,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,0.0245709828393136,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,0.0264261744966443,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,0.0291666666666667,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,0.0294392523364486,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,0.029688972667295,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,0.03199593702387,Turkmenistan,TM,EG.ELC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
