ano,valor,pais,codigo_pais,indicador,categoria
2024,,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,18.7,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,18.4,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,20.9,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,17.2,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,17.6,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,18.0,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,18.9,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,19.0,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,19.4,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,19.1,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,18.8,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,18.6,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,18.7,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,17.1,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,17.0,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,16.6,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,17.6,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,16.6,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,16.6,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,16.5,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,15.8,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,15.4,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,14.5,Andorra,AD,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
