ano,valor,pais,codigo_pais,indicador,categoria
2024,,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,9.1,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,8.4,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,10.3,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,11.1,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,12.6,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,13.2,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,10.7,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,7.1,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,6.8,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,6.6,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,8.0,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,9.4,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,7.8,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,6.4,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,7.0,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,7.7,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,6.5,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,8.7,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,9.8,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,8.9,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,5.4,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,7.2,Armenia,AM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
