ano,valor,pais,codigo_pais,indicador,categoria
2024,,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,12.3,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,11.2,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,10.3,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,9.8,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,9.9,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,9.6,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,9.4,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,9.3,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,9.2,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,8.3,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,8.3,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,8.2,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,7.1,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,6.8,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,7.0,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,6.8,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,6.7,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,6.7,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,7.2,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,8.7,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,8.4,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,8.4,Australia,AU,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
