ano,valor,pais,codigo_pais,indicador,categoria
2024,,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,34.2,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,36.4,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,33.4,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,33.1,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,33.3,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,34.1,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,38.3,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,37.6,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,37.8,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,38.1,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,38.0,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,40.4,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,40.7,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,40.7,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,41.2,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,42.4,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,41.7,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,39.2,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,33.3,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,32.5,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,32.1,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,33.0,Costa Rica,CR,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
