ano,valor,pais,codigo_pais,indicador,categoria
2024,,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,20.2,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,21.9,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,19.8,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,22.0,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,25.2,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,27.8,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,26.6,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,29.3,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,30.6,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,30.1,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,32.4,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,36.0,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,38.2,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,41.1,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,40.0,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,40.1,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,41.6,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,41.5,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,43.0,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,44.7,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,44.3,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,45.6,Indonesia,ID,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
