ano,valor,pais,codigo_pais,indicador,categoria
2024,,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,2.0,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,2.1,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,2.0,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,2.0,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,2.0,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,1.7,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,1.9,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,1.7,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,1.5,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,1.4,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,1.4,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,1.6,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,2.0,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,1.1,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,1.4,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,1.2,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,1.4,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,1.4,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,1.0,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,0.9,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,1.6,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,1.4,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,1.3,"Micronesia, Fed. Sts.",FM,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
