ano,valor,pais,codigo_pais,indicador,categoria
2024,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,0.0,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,,Sint Maarten (Dutch part),SX,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
