ano,valor,pais,codigo_pais,indicador,categoria
2024,,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2023,,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2022,2.3,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2021,1.8,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2020,1.9,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2019,1.8,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2018,1.8,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2017,2.0,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2016,2.0,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2015,1.9,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2014,1.7,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2013,1.6,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2012,1.1,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2011,1.1,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2010,1.0,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2009,1.8,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2008,2.0,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2007,2.2,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2006,1.9,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2005,2.1,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2004,2.1,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2003,2.0,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2002,2.5,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2001,2.7,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
2000,2.5,Tonga,TO,EG.FEC.RNEW.ZS,"Energy & Mining , Climate Change, Environment "
