ano,valor,pais,codigo_pais,indicador,categoria
2024,20.061,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,20.278,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,20.399,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,21.218,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,21.27,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,20.358,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,20.439,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,20.303,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,20.134,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,19.978,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,19.916,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,19.794,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,19.728,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,19.941,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,20.39,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,19.753,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,19.191,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,18.261,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,17.785,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,16.91,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,17.095,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,17.119,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,17.351,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,17.762,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,17.789,Gabon,GA,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
