ano,valor,pais,codigo_pais,indicador,categoria
2024,3.3,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,3.308,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,3.462,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,3.827,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,4.255,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,3.59,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,4.387,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,3.783,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,4.301,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,4.514,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,4.049,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,4.336,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,4.468,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,5.153,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,5.614,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,6.106,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,7.208,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,8.06,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,7.551,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,7.945,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,7.303,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,6.657,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,6.604,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,6.082,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,6.077,Indonesia,ID,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
