ano,valor,pais,codigo_pais,indicador,categoria
2024,6.72,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,6.465,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,6.815,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,7.513,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,8.098,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,6.312,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,7.412,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,8.715,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,9.643,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,9.873,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,10.846,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,11.867,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,15.047,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,16.206,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,19.482,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,17.515,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,7.739,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,6.052,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,7.03,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,10.033,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,11.708,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,12.061,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,13.829,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,13.821,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,14.211,Latvia,LV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
