ano,valor,pais,codigo_pais,indicador,categoria
2024,5.045,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,5.033,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,5.037,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,5.662,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,5.728,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,4.966,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,5.014,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,5.039,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,5.007,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,4.954,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,4.967,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,4.978,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,4.952,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,4.842,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,4.798,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,4.754,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,4.814,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,4.888,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,4.96,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,4.944,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,4.971,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,5.157,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,5.233,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,5.209,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,5.048,Malawi,MW,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
