ano,valor,pais,codigo_pais,indicador,categoria
2024,4.636,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,4.241,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,4.419,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,5.024,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,5.434,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,4.562,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,4.95,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,5.401,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,5.771,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,6.604,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,7.477,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,8.3,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,9.14,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,10.06,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,10.881,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,11.697,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,10.242,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,9.447,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,8.392,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,7.328,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,6.1,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,5.134,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,4.148,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,3.083,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,1.97,Maldives,MV,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
