ano,valor,pais,codigo_pais,indicador,categoria
2024,4.574,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,4.716,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,4.961,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,6.118,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,6.201,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,5.472,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,5.2,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,3.3,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,3.9,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,4.7,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,4.52,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,5.28,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,5.208,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,6.618,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,7.83,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,8.16,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,6.2,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,4.89,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,5.31,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,5.37,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,6.41,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,7.6,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,7.513,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,7.203,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,7.162,Nicaragua,NI,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
