ano,valor,pais,codigo_pais,indicador,categoria
2024,2.741,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,2.661,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,2.689,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,3.003,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,2.883,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,2.634,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,2.635,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,2.569,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,2.472,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,2.503,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,2.536,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,2.692,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,2.631,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,2.62,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,2.002,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,2.089,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,2.169,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,2.172,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,2.287,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,2.387,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,2.526,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,2.628,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,2.755,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,2.801,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,2.92,Papua New Guinea,PG,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
