ano,valor,pais,codigo_pais,indicador,categoria
2024,2.192,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,2.262,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,2.302,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,2.111,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,2.699,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,2.157,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,2.248,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,2.131,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,2.046,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,2.024,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,1.92,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,1.754,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,1.643,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,1.602,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,1.513,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,1.407,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,1.252,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,1.181,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,1.09,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,2.571,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,3.942,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,5.18,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,4.838,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,4.48,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,4.12,Tonga,TO,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
