ano,valor,pais,codigo_pais,indicador,categoria
2024,4.304,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,4.099,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,4.109,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,4.459,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,4.501,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,4.043,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,4.044,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,4.044,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,4.031,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,4.016,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,4.0,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,3.983,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,3.986,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,4.002,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,4.0,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,4.0,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,4.835,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,5.694,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,6.58,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,7.485,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,8.44,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,9.311,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,10.153,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,10.851,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,11.666,Turkmenistan,TM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
