ano,valor,pais,codigo_pais,indicador,categoria
2024,5.475,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,5.485,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,5.707,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,7.037,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,7.53,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,5.876,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,5.46,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,5.045,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,5.319,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,6.137,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,6.821,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,7.54,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,6.601,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,6.902,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,7.112,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,6.097,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,6.245,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,7.279,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,8.606,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,10.663,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,15.07,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,16.78,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,16.17,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,13.04,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,13.99,"Venezuela, RB",VE,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
