ano,valor,pais,codigo_pais,indicador,categoria
2024,5.961,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2023,5.905,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2022,5.995,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2021,5.199,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2020,6.033,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2019,5.542,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2018,5.033,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2017,4.529,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2016,5.239,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2015,5.942,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2014,6.571,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2013,7.264,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2012,7.85,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2011,10.545,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2010,13.19,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2009,10.582,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2008,7.93,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2007,10.561,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2006,13.229,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2005,15.9,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2004,15.33,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2003,14.705,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2002,14.131,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2001,13.415,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
2000,12.93,Zambia,ZM,SL.UEM.TOTL.ZS,"Education , Social Protection & Labor"
