ano,valor,pais,codigo_pais,indicador,categoria
2023,14.3558740989075,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2022,15.7838523965067,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2021,16.1805529630135,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2020,16.9334154768944,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2019,15.6882063635315,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2018,17.8526014022659,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2017,16.9409871496938,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2016,17.4349684074971,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2015,18.3620416868752,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2014,15.2417555256185,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2013,15.3429019354945,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2012,16.3751498758861,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2011,18.4866714886447,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2010,17.4889170707842,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2009,15.2495816385759,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2008,16.1854841829726,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2007,15.5787463255399,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2006,15.9447949066292,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2005,16.0651853584803,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2004,16.640018984398,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2003,20.7760202202729,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2002,18.737314157226,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2001,17.2770975527184,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
2000,16.195154514693,Cote d'Ivoire,CI,NV.AGR.TOTL.ZS,"Agriculture & Rural Development  , Economy & Growth, Climate Change"
