ano,valor,pais,codigo_pais,indicador,categoria
2023,,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,58.0466964106785,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,70.0109117652417,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,69.3215748590956,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,60.2260851971351,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,54.5030658860126,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,53.3164358193161,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,54.6779869160885,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,46.4820384628409,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,41.7223304965257,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,37.5600008066242,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,39.441661369273,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,30.0953996273683,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,28.6633975352712,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,23.8686549747471,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,18.1805465955822,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,20.0957188232021,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,21.439297308383,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,22.4060502981278,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,22.8610710239339,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,25.0737136225763,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,25.8835396049421,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,27.6933059278882,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,29.5228121217974,Australia,AU,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
