ano,valor,pais,codigo_pais,indicador,categoria
2023,190.608142099084,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,202.480392684901,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,233.448695008579,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,249.366027184106,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,210.381371566225,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,207.661903904942,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,198.458598610991,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,194.725367879293,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,190.301552874834,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,190.585867838051,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,187.608117967348,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,170.278178335433,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,116.116344893868,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,136.928187116935,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,145.953816799444,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,128.892039527125,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,125.66340408828,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,128.677320401239,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,130.474523107447,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,129.885148741273,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,123.986799720377,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,129.230246684097,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,127.585267219214,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,123.892647779887,Greece,GR,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
