ano,valor,pais,codigo_pais,indicador,categoria
2023,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Kenya,KE,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
