ano,valor,pais,codigo_pais,indicador,categoria
2023,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2022,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2021,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2020,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2019,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2018,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2017,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2016,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2015,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2014,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2013,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2012,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2011,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2010,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2009,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2008,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2007,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2006,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2005,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2004,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2003,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2002,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2001,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
2000,,Cambodia,KH,GC.DOD.TOTL.GD.ZS,"Economy & Growth, Public Sector "
